;0;1;2;3;4;5;6;7;8;9
0;benefit;associate;life;offer;time;pay;wellness;culture;diversity;medical
1;risks;curtailment;cemp;regime;recur;accrue;alternate;competitiveness;favorable;achievable
2;health;safety;survey;training;meeting;construction;supplier;investor;security;issue
3;scope;use;metric;factor;greenhouse;source;indirect;direct;calculate;control
4;garden;plastic;yellow;summer;host;participant;just;preparedness;charity;say
5;landlord;like;electricity;tonne;coverage;intensity;meter;table;epra;obtain
6;leed;certification;street;square;office;star;certify;gold;foot;francisco
7;real;estate;green;global;award;industry;index;leader;association;prologis
8;saving;lighting;solar;instal;system;save;efficient;installation;efficiency;store
9;assurance;review;information;statement;verification;basis;process;level;limited;conclusion
10;efficiency;goal;sustainable;cost;prologis;renewable;increase;stewardship;initiative;value
11;target;achieve;reduction;design;progress;breeam;measure;positive;major;recycling
12;board;committee;executive;director;member;officer;independent;chief;compensation;president
13;policy;code;conduct;compliance;ethic;human;practice;supplier;right;internal
14;centre;shopping;hammerson;retail;france;park;place;activity;local;programme
15;risk;climate;relate;identify;strategy;physical;response;increase;potential;assess
16;number;gender;time;female;rate;injury;hour;male;day;contractor
17;page;topic;material;boundary;approach;disclosure;organization;economic;content;aspect
18;tanger;outlet;volunteer;center;local;event;school;partner;premium;partnership
19;culture;create;people;make;success;commitment;deliver;environment;develop;future
