;0;1;2;3;4;5;6;7;8;9
-1;property;environmental;community;water;building;consumption;energy;sustainability;performance;corporate
0;important;relevance;material;external;organization;supplier;resident;advancement;internally;outside
1;rexford;infill;reposition;renovation;value;truck;benefit;industrial;million;california
2;dialogue;stakeholder;kimco;ongoing;engagement;kimcos;engage;interaction;issue;topic
3;alexandria;alexandrias;science;life;equities;profit;critical;agtech;research;campus
4;prairiesky;royalty;operator;land;mineral;lease;canada;liability;prairieskys;reclamation
5;simon;mall;online;shopping;boundary;product;organizational;protocol;emission;buy
6;hotel;gaylord;resort;marriott;opryland;hilton;hospitality;room;hotels;company
7;cost;anticipate;regulation;increase;mitigate;entirely;legislation;california;demand;change
8;simon;sustainability;property;stakeholder;group;topic;premium;update;mall;initiative
9;income;dividend;cash;share;gaap;affo;common;cost;amortization;depreciation
10;apartment;housing;healthcare;estate;equity;market;real;residential;york;ventas
11;property;segment;prologis;fund;industrial;distribution;investment;million;billion;locate
12;simon;youth;student;graduate;academy;school;scholarship;mall;foundation;million
13;charter;hall;june;july;indexten;ungcassurance;messageour;datagri;usceo;approachfy
14;hall;charter;cpof;street;office;fund;chot;retail;star;june
15;mirvac;australia;mirvacs;queensland;division;australian;development;sustainable;sydney;springfield
16;monetary;indicator;indirect;weight;appendix;greenhouse;initiative;core;product;environmental
17;governance;body;economic;high;organization;social;topic;environmental;ethic;executive
18;aspect;boundary;material;organization;restatement;entity;outside;define;identify;previous
19;period;boundary;subsidiary;technique;basis;venture;measurement;joint;limitation;outsource
20;organization;profile;location;form;general;description;disclosure;statement;headquarters;summary
21;explanation;topic;approach;page;boundary;component;evaluation;material;economic;management
22;page;stakeholder;topic;report;engagement;content;disclosure;general;contact;accordance
23;local;community;concern;traffic;project;development;paseo;impact;construction;noise
24;female;male;number;employee;gender;total;turnover;permanent;rate;time
25;garden;plant;bird;tree;pollinator;specie;roof;beehive;biodiversity;habitat
26;reporting;guideline;calendar;framework;report;disclosure;global;standard;accordance;sustainability
27;page;carbon;epra;performance;reporting;account;footprint;datum;annual;section
28;forward;statement;looking;look;materially;future;result;uncertainty;actual;differ
29;assurance;verification;datum;information;review;opinion;assertion;evidence;statement;perform
30;datum;data;park;monthly;centre;reading;utility;manual;retail;shopping
31;asset;control;reporting;activity;datum;hold;include;boundary;directly;investment
32;contribution;record;hammerson;leverage;collection;staff;charity;kind;value;money
33;wellness;benefit;health;employee;program;insurance;healthy;pay;time;assistance
34;security;coresite;cybersecurity;customer;center;datum;information;threat;cyber;cloud
35;park;retail;centre;hammerson;shopping;brent;london;saint;sell;birmingham
36;safety;health;ensure;construction;incident;contractor;store;safe;site;work
37;injury;riddor;minor;reportable;notice;accident;staff;number;dangerous;safety
38;safety;avalonbay;construction;injury;free;workplace;observation;regional;incident;health
39;gold;leed;diego;shell;silver;francisco;street;avenue;santa;core
40;code;ethic;conduct;policy;ethical;business;violation;hotline;corruption;anti
41;board;compensation;director;committee;independent;executive;governance;shareholder;stockholder;proxy
42;achieve;minimum;breeam;rating;project;excellent;refurbishment;major;collar;design
43;regency;letter;effective;stewardship;responsibility;overview;governance;centers;corporate;index
44;positive;introduction;data;datum;waterfull;table;reportpublishe;kilroy;realty;southampton
45;engagement;health;green;sustainable;development;community;medium;transparency;safety;diversity
46;labor;grievance;compliance;mechanism;anti;economic;equal;effluent;assessment;environmental
47;landlord;biomass;like;electricity;total;emission;consumption;intensity;scope;tenant
48;scope;mtco;base;indir;location;market;kgco;part;total;intensity
49;elec;landlord;fuels;electricity;consumption;natural;obtain;fuel;total;meter
50;area;gross;leasable;common;usage;calculate;floor;figure;use;total
51;emission;scope;factor;use;indirect;metric;methodology;base;ton;conversion
52;really;derwent;enjoy;work;role;feel;different;interview;experience;week
53;association;member;council;estate;real;committee;institute;green;national;nareit
54;gresb;award;score;estate;real;rank;global;leader;benchmark;star
55;tanger;outlet;shopper;breast;cancer;center;retailer;brand;pink;factory
56;diversity;gender;woman;female;diverse;equal;inclusion;status;sexual;orientation
57;employee;survey;training;culture;talent;skill;career;development;leadership;program
58;young;people;employment;skill;school;programme;engage;student;enterprise;support
59;yellow;charity;foundation;donation;match;fundraising;store;raise;trust;customer
60;volunteer;food;donate;organization;support;charitable;community;donation;foundation;hour
61;blood;cross;pint;preparedness;associate;disaster;american;resident;avalonbay;partnership
62;apartment;bike;transportation;station;transit;electric;vehicle;shower;charging;bicycle
63;training;module;positive;butterfly;programme;online;face;sustainability;bank;supplier
64;leed;green;certification;building;tenant;star;certify;program;gold;project
65;resident;satisfaction;customer;survey;score;online;kingsley;reputation;measure;live
66;france;hammerson;development;target;progress;sustainability;centre;lease;achieve;design
67;store;carbon;emission;flexi;electricity;dioxide;yellow;reduction;scope;year
68;waste;tonne;recycling;landfill;recycle;hazardous;compost;plastic;send;divert
69;local;community;socio;consultation;development;economic;impact;asset;activity;plan
70;water;landlord;obtain;visitor;consumption;meter;litres;services;harvest;centre
71;water;irrigation;system;reduce;toilet;rainwater;smart;gallon;landscape;flow
72;solar;renewable;installation;power;generation;rooftop;electricity;store;roof;generate
73;lighting;light;retrofit;upgrade;led;saving;efficient;efficiency;instal;complete
74;hvac;building;upgrade;equipment;pilot;automation;system;saving;technology;efficiency
75;carbon;target;reduction;emission;reduce;science;like;embodied;footprint;achieve
76;stakeholder;materiality;topic;analysis;external;priority;conduct;assessment;survey;material
77;stakeholder;issue;recommend;materiality;respond;company;kilroy;decision;extent;sustainability
78;risk;committee;board;investment;management;director;executive;oversight;governance;identify
79;committee;chief;board;strategy;senior;responsible;strategic;director;meet;executive
